DATAFLOW,LAST UPDATE,freq,citizen,agedef,age,unit,sex,geo,TIME_PERIOD,Value,OBS_FLAG
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Bulgaria,2013,18570,p
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Bulgaria,2014,26615,p
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Bulgaria,2015,25223,p
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Bulgaria,2016,21241,p
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Bulgaria,2017,25597,p
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Bulgaria,2018,29559,p
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Bulgaria,2019,37929,p
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Bulgaria,2020,37364,p
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Bulgaria,2021,39461,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Bulgaria,2022,40619,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Switzerland,2011,148799,b
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Switzerland,2012,149051,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Switzerland,2013,160157,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Switzerland,2014,156282,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Switzerland,2015,153627,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Switzerland,2016,149305,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Switzerland,2017,143377,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Switzerland,2018,144857,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Switzerland,2019,145129,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Switzerland,2020,138778,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Switzerland,2021,144907,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Switzerland,2022,167079,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Cyprus,2011,23037,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Cyprus,2012,17476,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Cyprus,2013,13149,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Cyprus,2014,9212,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Cyprus,2015,15183,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Cyprus,2016,17391,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Cyprus,2017,21306,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Cyprus,2018,23442,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Cyprus,2019,26170,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Cyprus,2020,25861,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Cyprus,2021,24001,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Cyprus,2022,31052,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Czechia,2011,27114,b
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Czechia,2012,34337,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Czechia,2013,30124,b
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Czechia,2014,29897,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Czechia,2015,29602,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Czechia,2016,64083,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Czechia,2017,51847,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Czechia,2018,65910,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Czechia,2019,105888,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Czechia,2020,63095,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Czechia,2021,69360,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Czechia,2022,347429,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Germany,2011,489422,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Germany,2012,592175,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Germany,2013,692713,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Germany,2014,866757,e
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Germany,2015,1549937,e
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Germany,2016,1046171,e
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Germany,2017,866541,e
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Germany,2018,825736,e
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Germany,2019,804821,e
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Germany,2020,642399,e
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Germany,2021,775946,e
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Germany,2022,1943445,e
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Denmark,2011,52833,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Denmark,2012,54409,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Denmark,2013,60312,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Denmark,2014,68388,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Denmark,2015,78492,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Denmark,2016,74383,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Denmark,2017,68579,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Denmark,2018,64669,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Denmark,2019,61384,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Denmark,2020,57230,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Denmark,2021,63489,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Denmark,2022,121183,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Estonia,2011,3709,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Estonia,2012,2639,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Estonia,2013,4109,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Estonia,2014,3904,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Estonia,2015,15413,b
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Estonia,2016,14822,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Estonia,2017,17616,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Estonia,2018,17547,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Estonia,2019,18259,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Estonia,2020,16209,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Estonia,2021,19524,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Estonia,2022,49414,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Greece,2011,60089,b
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Greece,2012,58200,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Greece,2013,57946,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Greece,2014,59013,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Greece,2015,64446,b
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Greece,2016,116867,b
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Greece,2017,112247,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Greece,2018,119489,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Greece,2019,129459,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Greece,2020,84221,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Greece,2021,57120,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Greece,2022,96662,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Spain,2011,371331,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Spain,2012,304053,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Spain,2013,280772,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Spain,2014,305454,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Spain,2015,342114,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Spain,2016,414746,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Spain,2017,532132,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Spain,2018,643684,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Spain,2019,750480,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Spain,2020,467918,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Spain,2021,887960,b
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Spain,2022,1258894,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,European Union - 27 countries (from 2020),2013,2901445,bep
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,European Union - 27 countries (from 2020),2014,3151967,ep
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,European Union - 27 countries (from 2020),2015,4051135,bep
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,European Union - 27 countries (from 2020),2016,3738024,bep
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,European Union - 27 countries (from 2020),2017,3731511,ep
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,European Union - 27 countries (from 2020),2018,3903785,ep
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,European Union - 27 countries (from 2020),2019,4175393,bep
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,European Union - 27 countries (from 2020),2020,3210557,ep
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,European Union - 27 countries (from 2020),2021,4053211,bep
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,European Union - 27 countries (from 2020),2022,6898752,ep
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Finland,2011,29481,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Finland,2012,31278,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Finland,2013,31941,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Finland,2014,31507,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Finland,2015,28746,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Finland,2016,34905,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Finland,2017,31797,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Finland,2018,31106,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Finland,2019,32758,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Finland,2020,32898,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Finland,2021,36364,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Finland,2022,49998,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,France,2011,319816,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,France,2012,327431,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,France,2013,338752,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,France,2014,340383,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,France,2015,364221,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,France,2016,377709,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,France,2017,369621,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,France,2018,387160,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,France,2019,385596,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,France,2020,283250,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,France,2021,336398,p
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,France,2022,431017,p
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Georgia,2022,179778,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Croatia,2011,8534,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Croatia,2012,8959,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Croatia,2013,10378,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Croatia,2014,10638,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Croatia,2015,11706,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Croatia,2016,13985,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Croatia,2017,15553,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Croatia,2018,26029,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Croatia,2019,37726,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Croatia,2020,33414,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Croatia,2021,35912,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Croatia,2022,57972,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Hungary,2011,28018,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Hungary,2012,33702,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Hungary,2013,38968,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Hungary,2014,54581,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Hungary,2015,58344,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Hungary,2016,53618,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Hungary,2017,68070,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Hungary,2018,82937,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Hungary,2019,88581,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Hungary,2020,75470,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Hungary,2021,80471,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Hungary,2022,94148,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Ireland,2011,57292,b
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Ireland,2012,61324,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Ireland,2013,65539,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Ireland,2014,73519,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Ireland,2015,80792,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Ireland,2016,93378,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Ireland,2017,84743,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Ireland,2018,105699,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Ireland,2019,96321,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Ireland,2020,81918,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Ireland,2021,83770,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Ireland,2022,157537,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Iceland,2011,4073,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Iceland,2012,4960,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Iceland,2013,6406,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Iceland,2014,5368,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Iceland,2015,5635,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Iceland,2016,8710,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Iceland,2017,12116,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Iceland,2018,11830,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Iceland,2019,9872,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Iceland,2020,8544,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Iceland,2021,8996,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Iceland,2022,14878,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Italy,2011,385793,
